"Paper","Journal.(1)/non-journal(0)","Study.design","Predator.species","Protected.assets","Category.of.intervention","Type.of.intervention","Intervention.details","Country","Damage.metric","Relative.risk.RR"
"Acorn and Dorrance 1994 ",0,"before-after","coyote","sheep","husbandry","electric fence","electric fence","Canada","No. killed/farm",0.398809523809524
"Agvaantseren et al. 2016",0,"before-after","snow leopard","livestock in general","non-invasive management","capacity building","handicrafts","Mongolia","No. predators killed",0
"Alexander et al. 2015",1,"control-impact","snow leopard, Eurasian lynx, wolf and brown bear","sheep/goats, yak, horses, mules and donkeys","husbandry","herding","herding","China","% depredation events",2.95652173913043
"Ali et al. 2016",1,"control-impact","gray wolf","cattle and sheep/goats","husbandry","herding","herding","Pakistan","% losses",0.229508196721311
"Ali et al. 2016",1,"control-impact","gray wolf","cattle and sheep/goats","husbandry","guarding animals","guarding dogs","Pakistan","% losses",0.557377049180328
"Alldredge et al. 2015",1,"before-after","American black bear","livestock in general and neighborhood safety","invasive management","translocation","translocation","USA","No. returning",0.212121212121212
"Alldredge et al. 2019",1,"before-after","puma","livestock in general","aversion","physical deterrent","shortgun with bean bag rounds","USA","No. predators resuming damage infliction",0.75
"Allen 2000",0,"before-after","dingo","cattle","lethal control","poisoning","baiting (poison)","Australia","% killed/living",5.87
"Allen 2014",1,"RCT","dingo","cattle","lethal control","poisoning","baiting (poison)","Australia","proportion of died/year",1.99397031943413
"Allen and Leung 2014",1,"control-impact","dingo","cattle","lethal control","poisoning","baiting (poison)","Australia","proportion of cattle in scats",0.925714285714286
"Andelt 1992",1,"control-impact","coyote","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.167832167832168
"Andelt 1992",1,"control-impact","coyote","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.347826086956522
"Andelt 1999",1,"before-after","coyote","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",1.0283395950471
"Andelt 1999",1,"before-after","coyote","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.665308581082661
"Andelt 1999",1,"before-after","American black bear","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",3.44158642360606
"Andelt 1999",1,"before-after","American black bear","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",1.98887263621632
"Andelt 1999",1,"before-after","puma","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",9.73935129560779
"Andelt 1999",1,"before-after","puma","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.178086911286521
"Andelt 1999",1,"before-after","domestic dog","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.246076536528798
"Andelt and Gipson 1979",1,"before-after","coyote","turkey","lethal control","trapping","trapping of problem animals","USA","No. killed/year",0.418181818181818
"Andelt and Hopper 2000",1,"control-impact","coyote - 1986","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.136363636363636
"Andelt and Hopper 2000",1,"control-impact","coyote - 1986","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.363636363636364
"Andelt and Hopper 2000",1,"control-impact","coyote - 1993","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.551724137931034
"Andelt and Hopper 2000",1,"control-impact","coyote - 1993","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",1.71428571428571
"Andelt and Hopper 2000",1,"control-impact","puma - 1993","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.285714285714286
"Andelt and Hopper 2000",1,"control-impact","puma - 1993","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.142857142857143
"Andelt and Hopper 2000",1,"control-impact","American black bear - 1993","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.375
"Andelt and Hopper 2000",1,"control-impact","American black bear - 1993","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.333333333333333
"Andelt and Hopper 2000",1,"control-impact","domestic dog - 1993","sheep (lamb)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.5
"Andelt and Hopper 2000",1,"control-impact","domestic dog - 1993","sheep (ewe)","husbandry","guarding animals","guarding dogs","USA","No. killed",0.333333333333333
"Andelt et al. 1999",1,"crossover","coyote","sheep (lamb)","invasive management","shock collar","shock collar","USA","No. killed",0
"Anderson et al. 2002",1,"before-after","brown bear","cattle","aversion","acoustic deterrent","yelling + discharging firearms + vehicle horns","USA","probability of depredation",0
"Anderson et al. 2002",1,"before-after","brown bear","cattle","invasive management","translocation","translocation","USA","probability of depredation",1
